rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
11	CEBPA	CCAAT/enhancer binding protein (C/EBP), alpha	1077	7	0	0	2	1	0	16	19	13	16	1.000000e-16	3.100000e-01	7.920000e-01	2.109424e-15	3.500301e-12
12	TP53	tumor protein p53	1314	498	0	0	11	1	3	4	19	15	19	4.381534e-16	1	1.430000e-01	4.551914e-15	6.923841e-12
13	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	122	0	0	8	0	0	0	8	8	6	6.779013e-12	1.220000e-02	6.555000e-01	2.574052e-12	3.614167e-09
14	PHF6	PHD finger protein 6	1241	143	0	0	2	1	1	2	6	6	6	6.092693e-13	1	1.690000e-01	4.952927e-12	6.457555e-09
15	STAG2	stromal antigen 2	3939	74	0	0	0	3	3	0	6	6	6	6.613497e-11	1	9.300000e-01	1.616294e-09	1.966814e-06
16	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3013	32	0	0	7	0	0	3	10	8	6	4.462593e-05	1.000000e-05	2.261700e-01	1.005428e-08	1.137517e-05
17	RAD21	RAD21 homolog (S. pombe)	1948	58	0	0	0	2	0	3	5	5	5	4.713742e-10	1	6.010000e-01	1.059431e-08	1.137517e-05
18	EZH2	enhancer of zeste homolog 2 (Drosophila)	2332	188	0	0	1	0	1	2	4	3	4	4.444988e-07	8.100000e-03	5.555000e-01	7.360096e-08	7.463546e-05
19	SMC3	structural maintenance of chromosomes 3	3766	54	0	0	5	1	1	0	7	7	7	2.078841e-08	1	1.650000e-01	3.885118e-07	3.732372e-04
20	ASXL1	additional sex combs like 1 (Drosophila)	4678	29	0	0	0	2	1	2	5	5	5	1.368285e-07	1	8.800000e-01	2.299340e-06	2.098493e-03
21	SMC1A	structural maintenance of chromosomes 1A	3800	46	0	0	5	0	1	0	6	6	6	1.359132e-06	1	1.000000e-01	3.407419e-06	2.961696e-03
22	GIGYF2	GRB10 interacting GYF protein 2	4080	76	0	0	0	0	0	2	2	2	2	4.954085e-05	1.000000e-02	9.213500e-01	7.687692e-06	6.378338e-03
23	PTPN11	protein tyrosine phosphatase, non-receptor type 11 (Noonan syndrome 1)	1842	24	0	0	9	0	0	0	9	9	9	1.336816e-06	1	3.050000e-01	9.657888e-06	7.664584e-03
24	SUZ12	suppressor of zeste 12 homolog (Drosophila)	2280	34	0	0	2	0	0	1	3	3	3	1.936513e-05	1	8.780000e-01	2.295163e-04	1.745567e-01
25	THRAP3	thyroid hormone receptor associated protein 3	2908	104	0	0	1	1	0	0	2	2	2	1.601659e-04	1	1.620000e-01	4.406170e-04	3.217033e-01
26	COL12A1	collagen, type XII, alpha 1	9452	81	0	1	2	0	1	0	3	3	3	1.526487e-03	1	1.600000e-02	5.939941e-04	4.170067e-01
27	RBBP4	retinoblastoma binding protein 4	1324	133	0	0	2	0	0	0	2	2	1	6.413097e-03	1.000000e-02	6.551000e-01	6.832887e-04	4.619285e-01
28	HNRNPK	heterogeneous nuclear ribonucleoprotein K	1488	1000	0	0	0	0	0	3	3	2	3	1.350047e-02	6.700000e-03	4.818000e-01	9.326333e-04	6.079770e-01
29	KDM6A	lysine (K)-specific demethylase 6A	4318	36	0	0	2	0	1	0	3	3	3	1.005969e-04	1	3.390000e-01	1.026530e-03	6.461122e-01
30	CACNA1B	calcium channel, voltage-dependent, N type, alpha 1B subunit	7200	49	0	0	2	0	1	0	3	3	3	1.160553e-03	1	9.200000e-02	1.620525e-03	9.859816e-01
31	GPBP1	GC-rich promoter binding protein 1	1487	537	0	0	0	0	0	1	1	1	1	1.766509e-03	NaN	NaN	1.766509e-03	1
32	C12orf11	chromosome 12 open reading frame 11	2185	218	0	0	0	1	0	0	1	1	1	1.998622e-03	NaN	NaN	1.998622e-03	1
33	NAA15	N(alpha)-acetyltransferase 15, NatA auxiliary subunit	2677	227	0	0	0	1	0	0	1	1	1	2.007450e-03	NaN	NaN	2.007450e-03	1
34	CTCF	CCCTC-binding factor (zinc finger protein)	2224	126	0	0	0	1	0	0	1	1	1	2.013527e-03	NaN	NaN	2.013527e-03	1
35	PARP2	poly (ADP-ribose) polymerase family, member 2	1814	342	0	0	0	1	0	0	1	1	1	2.151440e-03	NaN	NaN	2.151440e-03	1
36	SEMA4A	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4A	2342	217	0	0	1	0	0	1	2	2	2	2.421188e-04	1	5.090000e-01	2.258020e-03	1
37	ITGAV	integrin, alpha V (vitronectin receptor, alpha polypeptide, antigen CD51)	3312	131	0	0	0	1	0	0	1	1	1	2.397611e-03	NaN	NaN	2.397611e-03	1
38	CBL	Cas-Br-M (murine) ecotropic retroviral transforming sequence	2781	101	0	1	1	0	1	0	2	2	2	3.495656e-04	1	4.880000e-01	3.131695e-03	1
39	SLC4A3	solute carrier family 4, anion exchanger, member 3	3872	81	0	0	0	0	1	0	1	1	1	3.207475e-03	NaN	NaN	3.207475e-03	1
40	ZC3H18	zinc finger CCCH-type containing 18	2930	314	0	0	1	1	0	0	2	2	2	6.874868e-04	1	4.170000e-01	3.232860e-03	1
41	DDX41	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41	1935	63	0	0	1	0	1	0	2	2	2	3.771693e-04	1	2.620000e-01	3.350326e-03	1
42	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain	927	30	0	0	2	0	0	0	2	2	2	3.910449e-04	1	9.100000e-01	3.459452e-03	1
43	RUNX1T1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	1866	77	0	1	0	1	0	0	1	1	1	3.489659e-03	NaN	NaN	3.489659e-03	1
44	FAM154B	family with sequence similarity 154, member B	1207	44	0	0	2	0	0	0	2	2	2	4.132868e-04	1	6.600000e-01	3.633357e-03	1
45	MEFV	Mediterranean fever	2384	282	0	0	1	0	1	0	2	2	2	4.246391e-04	1	4.850000e-01	3.721652e-03	1
46	MYOC	myocilin, trabecular meshwork inducible glucocorticoid response	1525	76	0	1	0	1	0	0	1	1	1	3.795680e-03	NaN	NaN	3.795680e-03	1
47	BCOR	BCL6 co-repressor	5324	53	0	0	0	0	0	2	2	2	2	8.754095e-04	1	3.570000e-01	3.937745e-03	1
48	SUMO2	SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae)	300	4	0	0	0	0	0	1	1	1	1	3.993763e-03	NaN	NaN	3.993763e-03	1
49	TMEM104	transmembrane protein 104	1527	3	0	1	0	1	0	0	1	1	1	4.089980e-03	NaN	NaN	4.089980e-03	1
50	IGHMBP2	immunoglobulin mu binding protein 2	3040	33	0	0	0	1	0	0	1	1	1	4.446384e-03	NaN	NaN	4.446384e-03	1
51	KIAA0240	KIAA0240	3284	71	0	0	2	0	0	0	2	2	2	5.446771e-04	1	7.460000e-01	4.638098e-03	1
52	PRAMEF16	PRAME family member 16	1435	13	0	0	1	0	0	0	1	1	1	4.694836e-03	NaN	NaN	4.694836e-03	1
53	CENPB	centromere protein B, 80kDa	1800	80	0	0	0	1	0	0	1	1	1	5.000954e-03	NaN	NaN	5.000954e-03	1
54	OR8A1	olfactory receptor, family 8, subfamily A, member 1	980	133	0	0	1	0	0	0	1	1	1	5.154260e-03	NaN	NaN	5.154260e-03	1
55	FILIP1	filamin A interacting protein 1	3662	46	0	0	0	1	0	0	1	1	1	5.154639e-03	NaN	NaN	5.154639e-03	1
56	DDX17	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17	2245	33	0	0	0	0	1	0	1	1	1	5.279154e-03	NaN	NaN	5.279154e-03	1
57	WAC	WW domain containing adaptor with coiled-coil	1998	103	0	1	0	0	1	1	2	2	2	6.319846e-04	1	7.150000e-01	5.287591e-03	1
58	CARD18	caspase recruitment domain family, member 18	282	28	0	0	1	0	0	0	1	1	1	5.595933e-03	NaN	NaN	5.595933e-03	1
59	CCDC57	coiled-coil domain containing 57	2812	251	0	0	1	0	0	0	1	1	1	5.664688e-03	NaN	NaN	5.664688e-03	1
60	CBFB	core-binding factor, beta subunit	615	1000	0	0	0	1	0	1	2	2	2	6.895141e-04	1	4.800000e-01	5.708848e-03	1
61	LIMA1	LIM domain and actin binding 1	2323	145	0	0	0	0	0	1	1	1	1	6.180035e-03	NaN	NaN	6.180035e-03	1
62	MED12	mediator complex subunit 12	6710	31	0	0	1	1	0	0	2	2	2	3.385229e-03	1	1.400000e-01	6.230506e-03	1
63	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2	5239	20	0	0	1	0	0	1	2	2	2	6.231069e-03	NaN	NaN	6.231069e-03	1
64	ARHGEF10L	Rho guanine nucleotide exchange factor (GEF) 10-like	3952	30	0	0	0	0	1	0	1	1	1	6.715905e-03	NaN	NaN	6.715905e-03	1
65	FAM57B	family with sequence similarity 57, member B	841	14	0	0	1	1	0	0	2	2	2	8.358783e-04	1	8.040000e-01	6.759771e-03	1
66	MNDA	myeloid cell nuclear differentiation antigen	1248	303	0	0	1	0	0	0	1	1	1	7.267833e-03	NaN	NaN	7.267833e-03	1
67	KIF1C	kinesin family member 1C	3396	70	0	0	0	1	0	0	1	1	1	7.343632e-03	NaN	NaN	7.343632e-03	1
68	KIAA1683	KIAA1683	4118	19	0	1	1	0	0	1	2	2	2	1.517862e-02	1	6.100000e-02	7.393047e-03	1
69	HSPA4	heat shock 70kDa protein 4	2595	114	0	0	0	1	0	0	1	1	1	7.420747e-03	NaN	NaN	7.420747e-03	1
70	LRRFIP1	leucine rich repeat (in FLII) interacting protein 1	3625	16	0	0	0	0	1	0	1	1	1	7.688668e-03	NaN	NaN	7.688668e-03	1
71	MMP25	matrix metallopeptidase 25	1725	385	0	0	1	0	0	0	1	1	1	7.764837e-03	NaN	NaN	7.764837e-03	1
72	GUCA2A	guanylate cyclase activator 2A (guanylin)	358	57	0	0	1	0	0	0	1	1	1	7.920298e-03	NaN	NaN	7.920298e-03	1
73	ZNF213	zinc finger protein 213	1396	424	0	0	1	0	0	0	1	1	1	7.956520e-03	NaN	NaN	7.956520e-03	1
74	SENP7	SUMO1/sentrin specific peptidase 7	3245	66	0	0	0	1	0	0	1	1	1	7.997411e-03	NaN	NaN	7.997411e-03	1
75	BRMS1	breast cancer metastasis suppressor 1	919	134	0	0	0	1	0	0	1	1	1	8.146920e-03	NaN	NaN	8.146920e-03	1
76	USP24	ubiquitin specific peptidase 24	8131	46	0	0	0	0	1	0	1	1	1	8.191029e-03	NaN	NaN	8.191029e-03	1
77	TUSC3	tumor suppressor candidate 3	1105	100	0	0	1	0	0	0	1	1	1	8.404840e-03	NaN	NaN	8.404840e-03	1
78	DIO2	deiodinase, iodothyronine, type II	944	102	0	0	0	1	0	0	1	1	1	8.739560e-03	NaN	NaN	8.739560e-03	1
79	KLRK1	killer cell lectin-like receptor subfamily K, member 1	679	78	0	0	1	0	0	0	1	1	1	8.817727e-03	NaN	NaN	8.817727e-03	1
80	PPIC	peptidylprolyl isomerase C (cyclophilin C)	655	61	0	0	1	0	0	0	1	1	1	8.954234e-03	NaN	NaN	8.954234e-03	1
81	C1orf105	chromosome 1 open reading frame 105	576	64	0	0	0	0	0	1	1	1	1	8.964756e-03	NaN	NaN	8.964756e-03	1
82	KRT27	keratin 27	1410	953	0	0	1	0	0	0	1	1	1	8.996013e-03	NaN	NaN	8.996013e-03	1
83	ABCA10	ATP-binding cassette, sub-family A (ABC1), member 10	4776	34	0	0	0	0	1	0	1	1	1	9.061290e-03	NaN	NaN	9.061290e-03	1
84	CAPRIN2	caprin family member 2	3452	108	0	0	0	1	0	0	1	1	1	9.292910e-03	NaN	NaN	9.292910e-03	1
85	KRTAP4-2	keratin associated protein 4-2	413	74	0	0	1	0	0	0	1	1	1	9.559564e-03	NaN	NaN	9.559564e-03	1
86	KLK7	kallikrein-related peptidase 7	782	116	0	0	0	1	0	0	1	1	1	9.621060e-03	NaN	NaN	9.621060e-03	1
87	WBSCR17	Williams-Beuren syndrome chromosome region 17	1837	86	0	0	0	1	0	0	1	1	1	1.002096e-02	NaN	NaN	1.002096e-02	1
88	SUDS3	suppressor of defective silencing 3 homolog (S. cerevisiae)	1031	118	0	0	1	0	0	0	1	1	1	1.006984e-02	NaN	NaN	1.006984e-02	1
89	NOTCH2NL	Notch homolog 2 (Drosophila) N-terminal like	727	49	0	0	0	1	0	0	1	1	1	1.013934e-02	NaN	NaN	1.013934e-02	1
90	SLC27A6	solute carrier family 27 (fatty acid transporter), member 6	1896	454	0	0	1	0	0	0	1	1	1	1.024661e-02	NaN	NaN	1.024661e-02	1
91	EPB41L3	erythrocyte membrane protein band 4.1-like 3	3352	69	0	0	0	0	0	1	1	1	1	1.028485e-02	NaN	NaN	1.028485e-02	1
92	GATAD2B	GATA zinc finger domain containing 2B	1821	59	0	0	0	1	0	0	1	1	1	1.050955e-02	NaN	NaN	1.050955e-02	1
93	TCEAL6	transcription elongation factor A (SII)-like 6	556	336	0	0	1	1	0	0	2	2	2	1.419586e-03	1	8.270000e-01	1.072837e-02	1
94	MCM10	minichromosome maintenance complex component 10	2704	27	0	0	0	0	1	0	1	1	1	1.090736e-02	NaN	NaN	1.090736e-02	1
95	ANG	angiogenin, ribonuclease, RNase A family, 5	448	95	0	0	1	0	0	0	1	1	1	1.091203e-02	NaN	NaN	1.091203e-02	1
96	HSD17B1	hydroxysteroid (17-beta) dehydrogenase 1	1007	599	0	0	1	0	0	0	1	1	1	1.116016e-02	NaN	NaN	1.116016e-02	1
97	CBX5	chromobox homolog 5 (HP1 alpha homolog, Drosophila)	592	9	0	0	0	1	0	0	1	1	1	1.119157e-02	NaN	NaN	1.119157e-02	1
98	LPPR1		1006	62	0	0	1	0	0	0	1	1	1	1.126538e-02	NaN	NaN	1.126538e-02	1
99	ZNF420	zinc finger protein 420	2079	120	0	0	0	1	0	0	1	1	1	1.147013e-02	NaN	NaN	1.147013e-02	1
100	RPL32	ribosomal protein L32	420	159	0	0	1	0	0	0	1	1	1	1.149596e-02	NaN	NaN	1.149596e-02	1
101	SPRR4	small proline-rich protein 4	244	12	0	0	1	0	0	0	1	1	1	1.162791e-02	NaN	NaN	1.162791e-02	1
102	SSSCA1	Sjogren syndrome/scleroderma autoantigen 1	616	13	0	0	0	0	0	1	1	1	1	1.164679e-02	NaN	NaN	1.164679e-02	1
103	PRDM9	PR domain containing 9	2725	180	0	0	1	0	0	0	1	1	1	1.166916e-02	NaN	NaN	1.166916e-02	1
104	C15orf60	chromosome 15 open reading frame 60	827	45	0	0	1	0	0	0	1	1	1	1.181593e-02	NaN	NaN	1.181593e-02	1
105	TCF4	transcription factor 4	2092	16	0	0	0	0	0	1	1	1	1	1.192632e-02	NaN	NaN	1.192632e-02	1
106	CHIC2	cysteine-rich hydrophobic domain 2	518	43	0	0	1	0	0	0	1	1	1	1.199347e-02	NaN	NaN	1.199347e-02	1
107	TTLL2	tubulin tyrosine ligase-like family, member 2	1789	170	0	0	1	0	0	0	1	1	1	1.206123e-02	NaN	NaN	1.206123e-02	1
108	GABRB1	gamma-aminobutyric acid (GABA) A receptor, beta 1	1457	535	0	0	1	0	0	0	1	1	1	1.212076e-02	NaN	NaN	1.212076e-02	1
109	HKR1	GLI-Kruppel family member HKR1	1996	128	0	0	1	0	0	0	1	1	1	1.217566e-02	NaN	NaN	1.217566e-02	1
110	LMOD1	leiomodin 1 (smooth muscle)	1811	423	0	0	1	0	0	0	1	1	1	1.226801e-02	NaN	NaN	1.226801e-02	1
111	GBP4	guanylate binding protein 4	1963	233	0	0	2	0	1	0	3	3	3	4.789190e-03	1	2.470000e-01	1.238928e-02	1
112	CLDN11	claudin 11 (oligodendrocyte transmembrane protein)	632	107	0	0	1	0	0	0	1	1	1	1.245248e-02	NaN	NaN	1.245248e-02	1
113	TCEANC	transcription elongation factor A (SII) N-terminal and central domain containing	1154	96	0	0	1	0	0	0	1	1	1	1.247921e-02	NaN	NaN	1.247921e-02	1
114	METTL3	methyltransferase like 3	1787	216	0	0	1	0	0	0	1	1	1	1.251694e-02	NaN	NaN	1.251694e-02	1
115	TYRO3	TYRO3 protein tyrosine kinase	2745	161	0	0	1	0	0	0	1	1	1	1.253155e-02	NaN	NaN	1.253155e-02	1
116	MED21	mediator complex subunit 21	449	239	0	0	1	0	0	0	1	1	1	1.259940e-02	NaN	NaN	1.259940e-02	1
117	STK33	serine/threonine kinase 33	1589	345	0	0	0	0	1	0	1	1	1	1.260844e-02	NaN	NaN	1.260844e-02	1
118	PGM3	phosphoglucomutase 3	1677	240	0	0	1	0	0	0	1	1	1	1.265554e-02	NaN	NaN	1.265554e-02	1
119	POLA2	polymerase (DNA directed), alpha 2 (70kD subunit)	1865	5	0	0	0	0	0	1	1	1	1	1.267313e-02	NaN	NaN	1.267313e-02	1
120	NRCAM	neuronal cell adhesion molecule	4063	26	0	0	0	0	1	0	1	1	1	1.275975e-02	NaN	NaN	1.275975e-02	1
121	ZNF75D	zinc finger protein 75D	1549	119	0	0	1	0	0	0	1	1	1	1.277960e-02	NaN	NaN	1.277960e-02	1
122	CDON	Cdon homolog (mouse)	3871	126	0	0	1	0	0	0	1	1	1	1.287460e-02	NaN	NaN	1.287460e-02	1
123	WEE2	WEE1 homolog 2 (S. pombe)	1748	244	0	0	1	0	0	0	1	1	1	1.311294e-02	NaN	NaN	1.311294e-02	1
124	CD320	CD320 molecule	867	221	0	0	1	0	0	0	1	1	1	1.325622e-02	NaN	NaN	1.325622e-02	1
125	POU5F1	POU class 5 homeobox 1	1101	135	0	0	1	0	0	0	1	1	1	1.337913e-02	NaN	NaN	1.337913e-02	1
126	ARID2	AT rich interactive domain 2 (ARID, RFX-like)	5588	40	0	0	0	1	0	0	1	1	1	1.352140e-02	NaN	NaN	1.352140e-02	1
127	OR51L1	olfactory receptor, family 51, subfamily L, member 1	946	397	0	0	1	0	0	0	1	1	1	1.362535e-02	NaN	NaN	1.362535e-02	1
128	CLPX	ClpX caseinolytic peptidase X homolog (E. coli)	1956	283	0	0	1	0	0	0	1	1	1	1.379373e-02	NaN	NaN	1.379373e-02	1
129	NECAB2	N-terminal EF-hand calcium binding protein 2	1211	281	0	0	1	0	0	0	1	1	1	1.395289e-02	NaN	NaN	1.395289e-02	1
130	PCDHB11	protocadherin beta 11	2394	155	0	0	1	0	0	0	1	1	1	1.398399e-02	NaN	NaN	1.398399e-02	1
131	TMEM47	transmembrane protein 47	554	5	0	0	1	0	0	0	1	1	1	1.398601e-02	NaN	NaN	1.398601e-02	1
132	MAT1A	methionine adenosyltransferase I, alpha	1220	128	0	0	1	0	0	0	1	1	1	1.400674e-02	NaN	NaN	1.400674e-02	1
133	ARHGEF5	Rho guanine nucleotide exchange factor (GEF) 5	4850	110	0	0	1	0	0	0	1	1	1	1.422965e-02	NaN	NaN	1.422965e-02	1
134	SLPI	secretory leukocyte peptidase inhibitor	413	26	0	0	1	0	0	0	1	1	1	1.454380e-02	NaN	NaN	1.454380e-02	1
135	KRT79	keratin 79	1642	54	0	1	1	0	0	0	1	1	1	1.456535e-02	NaN	NaN	1.456535e-02	1
136	KRT13	keratin 13	1407	400	0	0	1	0	0	0	1	1	1	1.464980e-02	NaN	NaN	1.464980e-02	1
137	MDH1B	malate dehydrogenase 1B, NAD (soluble)	1603	97	0	0	1	0	0	0	1	1	1	1.476266e-02	NaN	NaN	1.476266e-02	1
138	FAM47A	family with sequence similarity 47, member A	2378	89	0	1	1	0	0	0	1	1	1	1.478586e-02	NaN	NaN	1.478586e-02	1
139	CBX7	chromobox homolog 7	778	1000	0	0	0	0	0	2	2	1	2	2.073478e-01	1.000000e-02	7.969000e-01	1.488452e-02	1
140	CADM2	cell adhesion molecule 2	1413	1000	0	0	2	0	0	0	2	2	2	1.098149e-01	1	1.610000e-02	1.489702e-02	1
141	SCARA3	scavenger receptor class A, member 3	1875	79	0	0	1	0	0	0	1	1	1	1.501238e-02	NaN	NaN	1.501238e-02	1
142	BCHE	butyrylcholinesterase	1821	459	0	0	0	0	0	1	1	1	1	1.550398e-02	NaN	NaN	1.550398e-02	1
143	CD109	CD109 molecule	4466	50	0	0	0	0	1	0	1	1	1	1.551663e-02	NaN	NaN	1.551663e-02	1
144	VCAM1	vascular cell adhesion molecule 1	2252	30	0	0	1	0	0	0	1	1	1	1.573490e-02	NaN	NaN	1.573490e-02	1
145	ZNF677	zinc finger protein 677	1767	215	0	0	1	0	0	0	1	1	1	1.588720e-02	NaN	NaN	1.588720e-02	1
146	GSTM3	glutathione S-transferase M3 (brain)	706	168	0	0	0	0	1	0	1	1	1	1.601823e-02	NaN	NaN	1.601823e-02	1
147	OR4C15	olfactory receptor, family 4, subfamily C, member 15	1111	221	0	0	1	0	0	0	1	1	1	1.604689e-02	NaN	NaN	1.604689e-02	1
148	CFHR2	complement factor H-related 2	831	102	0	0	1	0	0	0	1	1	1	1.605204e-02	NaN	NaN	1.605204e-02	1
149	GBP1	guanylate binding protein 1, interferon-inducible, 67kDa	1819	231	0	0	1	0	0	0	1	1	1	1.607197e-02	NaN	NaN	1.607197e-02	1
150	C1RL	complement component 1, r subcomponent-like	1486	370	0	0	1	0	0	0	1	1	1	1.632919e-02	NaN	NaN	1.632919e-02	1
151	MBTPS1	membrane-bound transcription factor peptidase, site 1	3243	162	0	0	1	0	0	0	1	1	1	1.658538e-02	NaN	NaN	1.658538e-02	1
152	PCDHB1	protocadherin beta 1	2459	91	0	1	1	0	0	0	1	1	1	1.664039e-02	NaN	NaN	1.664039e-02	1
153	BRS3	bombesin-like receptor 3	1210	56	0	0	1	0	0	0	1	1	1	1.684623e-02	NaN	NaN	1.684623e-02	1
154	MYH6	myosin, heavy chain 6, cardiac muscle, alpha (cardiomyopathy, hypertrophic 1)	5970	42	0	0	0	1	0	0	1	1	1	1.696244e-02	NaN	NaN	1.696244e-02	1
155	SHROOM2	shroom family member 2	4889	213	0	1	0	1	0	0	1	1	1	1.697596e-02	NaN	NaN	1.697596e-02	1
156	RAP1B	RAP1B, member of RAS oncogene family	583	29	0	0	1	0	0	0	1	1	1	1.700253e-02	NaN	NaN	1.700253e-02	1
157	SLC37A2	solute carrier family 37 (glycerol-3-phosphate transporter), member 2	1608	405	0	0	1	0	0	0	1	1	1	1.709337e-02	NaN	NaN	1.709337e-02	1
158	BRCC3	BRCA1/BRCA2-containing complex, subunit 3	997	53	0	0	0	1	0	0	1	1	1	1.719936e-02	NaN	NaN	1.719936e-02	1
159	SERPINB12	serpin peptidase inhibitor, clade B (ovalbumin), member 12	1240	76	0	0	1	0	0	0	1	1	1	1.729347e-02	NaN	NaN	1.729347e-02	1
160	PRDM16	PR domain containing 16	3897	134	0	0	1	0	0	0	1	1	1	1.730832e-02	NaN	NaN	1.730832e-02	1
161	PCDHB16	protocadherin beta 16	2331	150	0	0	1	0	0	0	1	1	1	1.733144e-02	NaN	NaN	1.733144e-02	1
162	C19orf62	chromosome 19 open reading frame 62	1026	224	0	0	0	0	1	0	1	1	1	1.760120e-02	NaN	NaN	1.760120e-02	1
163	UNC45B	unc-45 homolog B (C. elegans)	2872	67	0	0	1	0	0	0	1	1	1	1.764575e-02	NaN	NaN	1.764575e-02	1
164	OR13H1	olfactory receptor, family 13, subfamily H, member 1	926	1000	0	0	2	0	0	0	2	2	2	1.003859e-02	1	2.600000e-01	1.819523e-02	1
165	LYRM5	LYR motif containing 5	281	9	0	0	1	0	0	0	1	1	1	1.841245e-02	NaN	NaN	1.841245e-02	1
166	PDC	phosducin	753	337	0	0	1	0	0	0	1	1	1	1.858384e-02	NaN	NaN	1.858384e-02	1
167	MTA2	metastasis associated 1 family, member 2	2075	191	0	0	2	0	0	0	2	2	2	1.871671e-02	1	1.410000e-01	1.875147e-02	1
168	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1	1664	48	0	0	1	0	0	0	1	1	1	1.888337e-02	NaN	NaN	1.888337e-02	1
169	STK32A	serine/threonine kinase 32A	1270	486	0	0	0	1	0	0	1	1	1	1.891954e-02	NaN	NaN	1.891954e-02	1
170	SLC15A1	solute carrier family 15 (oligopeptide transporter), member 1	2217	337	0	0	0	1	0	0	1	1	1	1.898957e-02	NaN	NaN	1.898957e-02	1
171	ANK3	ankyrin 3, node of Ranvier (ankyrin G)	13637	6	0	0	0	0	1	0	1	1	1	1.915378e-02	NaN	NaN	1.915378e-02	1
172	AGBL2	ATP/GTP binding protein-like 2	2779	261	0	0	1	0	0	0	1	1	1	1.916347e-02	NaN	NaN	1.916347e-02	1
173	USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	4336	74	0	0	0	0	1	0	1	1	1	1.923267e-02	NaN	NaN	1.923267e-02	1
174	DOCK2	dedicator of cytokinesis 2	5699	1	0	0	1	0	1	0	2	2	2	5.419464e-02	1	2.300000e-02	1.936524e-02	1
175	HSPA13	heat shock protein 70kDa family, member 13	1434	71	0	0	1	0	0	0	1	1	1	1.944008e-02	NaN	NaN	1.944008e-02	1
176	AKAP13	A kinase (PRKA) anchor protein 13	8656	35	0	1	0	0	0	1	1	1	1	1.953733e-02	NaN	NaN	1.953733e-02	1
177	RFC3	replication factor C (activator 1) 3, 38kDa	1144	1000	0	0	1	0	1	0	2	2	2	2.862029e-03	1	9.590000e-01	1.962271e-02	1
178	RAB17	RAB17, member RAS oncogene family	659	26	0	0	1	0	0	0	1	1	1	1.967186e-02	NaN	NaN	1.967186e-02	1
179	TBX18	T-box 18	1852	64	0	0	1	0	0	0	1	1	1	1.991644e-02	NaN	NaN	1.991644e-02	1
180	TRIP4	thyroid hormone receptor interactor 4	1796	309	0	0	0	0	1	0	1	1	1	2.010074e-02	NaN	NaN	2.010074e-02	1
181	MAP2	microtubule-associated protein 2	5804	209	0	1	2	0	0	0	2	2	2	6.058640e-03	1	3.080000e-01	2.010450e-02	1
